date,runde,frequenzbereich,ausstattung,block,hoechstbieter,hoechstgebot,mindestgebot
2015-05-27,4,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 C",Vodafone,39427000,37500000
2015-05-27,4,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 D",Vodafone,39427000,37500000
2015-05-27,4,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 E","TEF DE",37550000,37500000
2015-05-27,4,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 F",Telekom,39427000,37500000
2015-05-27,4,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 G",Telekom,39396000,37500000
2015-05-27,4,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 H",Telekom,39396000,37500000
2015-05-27,4,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 I",Telekom,39396000,37500000
2015-05-27,4,"1,8 GHz (gepaart)","2x5 MHz konkret","1800 J",NULL,NULL,37500000
2015-05-27,4,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 A",Telekom,18750000,18750000
2015-05-27,4,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 B",Telekom,18750000,18750000
2015-05-27,4,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 C",Telekom,18750000,18750000
2015-05-27,4,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 D",Telekom,18750000,18750000
2015-05-27,4,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 E",Vodafone,18770000,18750000
2015-05-27,4,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 F",Vodafone,18770000,18750000
2015-05-27,4,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 G",Vodafone,18770000,18750000
2015-05-27,4,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 H",Vodafone,18770000,18750000
2015-05-27,5,"700 MHz (gepaart)","2x5 MHz konkret","700 A","TEF DE",75050000,75000000
2015-05-27,5,"700 MHz (gepaart)","2x5 MHz abstrakt","700 B","TEF DE",75050000,75000000
2015-05-27,5,"700 MHz (gepaart)","2x5 MHz abstrakt","700 C",Vodafone,75020000,75000000
2015-05-27,5,"700 MHz (gepaart)","2x5 MHz abstrakt","700 D",Vodafone,75020000,75000000
2015-05-27,5,"700 MHz (gepaart)","2x5 MHz abstrakt","700 E",Telekom,75000000,75000000
2015-05-27,5,"700 MHz (gepaart)","2x5 MHz abstrakt","700 F",Telekom,75000000,75000000
2015-05-27,5,"900 MHz (gepaart)","2x5 MHz konkret","900 A","TEF DE",75050000,75000000
2015-05-27,5,"900 MHz (gepaart)","2x5 MHz abstrakt","900 B","TEF DE",75050000,75000000
